N,P,K,pH,temperature,rainfall,crop
72,35,41,6.462391607,20.82477109,230.2242223,rice
74,38,40,7.069172227,26.92995077,290.6793783,rice
63,58,45,7.473134377,23.83509503,241.2013513,rice
90,43,39,6.158376967,26.52872817,218.9163567,rice
71,45,44,7.549873681,26.46428311,248.2256491,rice
95,42,42,6.028321558,22.69657794,256.9964761,rice
60,49,41,6.604993475,22.68319059,194.2651719,rice
72,51,43,6.500343222,21.53346343,295.9248796,rice
63,56,40,5.935745417,21.40865769,287.5766935,rice
76,42,42,7.072655622,26.54348085,183.6222657,rice
79,40,40,5.333322606,23.35905428,188.413665,rice
100,49,19,5.749914421,22.61359953,87.75953857,maize
92,48,16,6.931756558,26.10018422,102.2662445,maize
71,52,24,6.657964753,23.55882094,66.71995467,maize
78,54,17,6.596060648,19.97215954,60.65171481,maize
76,41,16,5.970458434,18.47891261,65.43835393,maize
64,59,20,6.158830619,21.77689322,102.0861694,maize
62,39,22,6.047906679,25.6217169,105.4654703,maize
90,55,21,5.913664501,25.19192419,78.06639649,maize
69,41,17,5.855442401,20.41683147,65.27798457,maize
83,46,16,5.750254943,24.92162194,109.2162279,maize
65,45,18,5.852607099,23.31689124,94.29712821,maize
100,49,22,6.472523287,24.84016732,74.05474936,maize
97,48,15,6.967057762,22.27526694,63.87020584,maize
78,38,19,6.082973754,18.87751445,94.76189431,maize
99,37,16,5.919045532,25.19008683,72.12375573,maize
69,40,20,6.204747653,18.25405352,63.72358154,maize
66,43,15,6.600827017,24.6129118,104.1626147,maize
77,54,23,6.021902237,25.1420613,76.68456006,maize
70,40,25,6.033550195,23.09348056,65.49730729,maize
68,58,20,6.28886807,18.05033737,84.23613484,maize
91,58,15,6.550563823,24.9321581,79.74078719,maize
94,48,19,5.573286437,18.14710054,88.07753741,maize
71,38,21,6.829199275,18.28362235,80.97573281,maize
68,42,20,5.716222912,18.83344471,79.7532896,maize
98,47,16,5.54990242,25.71895816,74.51490791,maize
66,36,24,6.586244581,25.33797709,96.46380213,maize
67,40,22,5.893093135,23.89114571,102.8301942,maize
79,36,15,5.918263801,21.53574127,102.4852929,maize
85,53,15,5.588650585,23.08974909,70.43473609,maize
91,56,22,6.576418207,25.61707368,108.8303762,maize
60,58,22,6.178056304,21.44526922,65.88951188,maize
95,37,15,6.641906353,18.51816776,90.988051,maize
75,58,24,6.489040367,22.53510514,64.40866039,maize
67,49,15,5.680361038,23.02038334,63.03843397,maize
65,46,19,6.625404348,24.89364635,87.9298085,maize
83,53,21,6.524478032,25.77175115,107.4931917,maize
91,42,22,5.696205468,19.39851734,60.95197486,maize
100,50,19,6.803931519,21.54156232,109.7515385,maize
99,53,25,6.252797548,23.79746068,91.76337172,maize
79,56,25,6.092725883,18.9802729,94.26249353,maize
75,41,22,6.234330356,24.10859207,71.07562236,maize
86,50,20,5.722579819,24.7947077,76.72860067,maize
83,43,23,6.430616465,21.63162756,69.21803098,maize
80,59,25,5.983952675,25.37548751,101.7004306,maize
77,49,15,6.80163854,22.21738222,106.6213157,maize
65,54,22,6.499936446,20.58314011,66.29390357,maize
60,60,20,6.265564338,24.87502824,91.26056654,maize
71,38,23,6.727303282,20.03728219,109.024141,maize
73,52,22,6.325235159,25.95263264,99.57981207,maize
97,42,25,6.807487794,19.28889933,71.3195307,maize
77,59,22,6.671085817,20.57981887,78.34604471,maize
70,42,22,6.648725327,24.71417533,88.45361858,maize
96,53,21,6.439071996,20.27317074,62.50351892,maize
78,44,24,6.474476516,18.41932981,76.41312437,maize
74,43,20,5.871647806,23.39128187,107.3198135,maize
82,41,20,5.730617109,19.84939404,100.7689246,maize
68,50,18,5.850439831,21.869274,107.2681929,maize
90,51,17,5.791649933,22.8056033,101.5952794,maize
89,56,21,6.740000688,19.0781471,80.72515943,maize
63,41,24,6.272417541,22.02720976,83.73280082,maize
85,37,21,5.715208817,23.80546189,89.9622014,maize
97,56,16,5.773454729,18.52510753,88.10234397,maize
80,51,17,5.584171461,23.50297882,64.77791424,maize
75,53,22,5.787268394,26.54986394,73.33636055,maize
60,37,18,5.77597783,19.29563411,83.21030571,maize
66,53,25,6.864793607,20.68899915,103.651438,maize
78,46,22,6.192360003,19.32666088,84.22969177,maize
99,54,25,6.636803223,24.60532218,96.59195302,maize
65,43,18,5.826426917,22.27373646,67.96704792,maize
77,40,25,6.960358276,25.70196694,83.20711308,maize
61,52,25,6.11275104,19.20129357,87.85092352,maize
65,60,24,6.708446922,21.70181447,95.71388473,maize
76,37,24,5.561510732,20.51716779,67.61013737,maize
77,35,18,5.873242491,23.30355338,97.59081274,maize
81,57,23,6.995843776,24.2547451,64.23845455,maize
78,38,22,5.714799723,24.86374934,75.82270467,maize
68,35,17,6.78073637,22.6265115,88.17251033,maize
81,36,23,5.513697923,18.04185513,104.2321615,maize
62,50,22,5.798423908,23.26237612,67.10225139,maize
69,54,16,6.352471866,22.88330922,67.72777298,maize
98,60,21,6.822586546,25.97482359,103.2234212,maize
90,50,24,6.655426355,26.14384005,107.2361366,maize
79,41,22,6.121294041,18.66116213,75.03247667,maize
81,47,20,5.790770203,25.10787449,78.16077693,maize
79,59,16,6.47444292,23.33844615,105.0083144,maize
99,58,24,6.455116637,25.08239719,62.49190812,maize
75,49,23,6.606984086,25.36768364,107.9124111,maize
84,53,20,6.330554389,25.34217103,74.52082026,maize
91,42,16,6.528631266,25.00933355,62.91359494,maize
91,55,21,5.721667141,18.66746724,69.93293255,maize
99,56,18,6.644205485,20.37999665,108.5054416,maize
72,57,22,6.376651091,18.09300227,78.96159541,maize
82,59,22,6.247040422,26.16985907,79.84925393,maize
72,45,20,6.656730008,18.65396672,93.62039175,maize
94,44,24,6.2048017,26.07470121,85.75692395,maize
75,35,15,6.158860284,18.92851916,82.34162918,maize
86,52,19,6.385684214,23.30546753,108.7603001,maize
88,49,24,6.417820493,18.74826712,70.23401597,maize
62,51,18,6.381201909,19.74213321,65.50861389,maize
65,47,24,6.877869005,25.73044432,98.73771338,maize
32,74,77,7.485996067,17.02498456,88.55123143,chickpea
43,70,84,6.920251378,19.02061277,79.92698081,chickpea
57,65,78,5.996932037,17.88776475,68.54932919,chickpea
39,69,84,6.391173589,18.86805647,88.51048983,chickpea
37,57,75,7.152811172,18.36952567,79.26357665,chickpea
31,74,79,5.988992796,20.45078582,92.68373702,chickpea
33,57,81,6.231049028,20.6543203,74.6631118,chickpea
26,64,85,7.550808267,17.3348681,82.61734721,chickpea
24,75,85,7.010570541,18.17912258,81.84997529,chickpea
43,61,76,8.753795334,18.01272266,81.98568791,chickpea
46,74,83,8.718192847,20.99373558,93.55280105,chickpea
34,60,81,7.976607593,19.46233971,74.58565097,chickpea
53,61,77,6.515499549,19.81344531,78.96514709,chickpea
59,66,78,8.490127142,18.97424756,80.7108745,chickpea
50,78,83,6.576415562,18.19737048,70.18185181,chickpea
48,78,78,6.481783043,18.72963144,71.58010169,chickpea
33,68,82,7.966605025,20.99502153,73.50734019,chickpea
21,66,82,8.140825437,20.28155898,82.52339655,chickpea
59,61,76,7.228963452,17.48042641,66.96980581,chickpea
50,78,83,6.492546046,20.88818675,90.46228334,chickpea
36,67,83,7.528599957,17.08498521,71.31007253,chickpea
54,67,85,7.701446446,20.09340593,85.74904898,chickpea
29,74,80,8.519975748,17.57212145,89.31050665,chickpea
22,68,79,6.620900869,19.12065218,85.52950164,chickpea
35,74,82,8.104396058,18.57665902,72.94940441,chickpea
27,55,80,6.204090835,17.16606398,72.32667516,chickpea
48,75,76,6.051091339,18.2872007,74.87445574,chickpea
56,80,79,7.690962338,19.03025305,94.70992037,chickpea
46,67,79,7.829211144,17.1418614,83.74606679,chickpea
37,70,85,6.761599706,17.47809436,78.92060234,chickpea
60,66,84,6.654425315,20.56601874,83.75937135,chickpea
23,63,78,6.129533877,17.22385224,76.57580954,chickpea
43,59,83,8.829273328,19.69141713,91.76071648,chickpea
43,71,81,8.621662982,17.84851658,76.32470713,chickpea
40,68,81,8.204862075,18.8202251,89.73119396,chickpea
47,62,75,6.18042747,17.47500984,93.35034262,chickpea
24,59,76,7.978996755,18.72649425,81.20176515,chickpea
59,79,82,7.863113671,18.65580107,81.70769297,chickpea
48,71,78,6.967843048,18.2356751,83.74879344,chickpea
54,63,81,6.206582193,18.81198127,77.5429424,chickpea
54,76,79,8.868741443,18.65054116,77.92798682,chickpea
47,62,82,8.766128654,20.36720401,82.2545577,chickpea
57,68,83,8.736337905,18.38120357,70.52056697,chickpea
35,55,78,8.081095263,17.17012591,72.78624223,chickpea
54,62,80,6.138243973,19.37101121,85.24819851,chickpea
41,64,78,7.496645259,17.92845928,85.37378769,chickpea
37,66,81,8.380185271,19.45339934,75.6317566,chickpea
44,65,75,6.289614016,19.12829388,89.61857826,chickpea
30,68,76,6.586777189,19.1034283,75.49101167,chickpea
36,66,75,6.89655198,17.48504075,86.05078037,chickpea
20,78,81,7.806747656,19.40751744,80.25064637,chickpea
28,57,85,7.150681303,20.18649426,78.26039559,chickpea
21,69,77,6.64919573,17.30287885,75.57790384,chickpea
42,73,81,7.778591618,17.50361137,72.9446671,chickpea
36,69,77,6.358740355,18.17234999,90.7760707,chickpea
34,77,85,8.255450758,17.57445618,77.81891424,chickpea
21,57,80,6.456148474,20.93175255,78.06910795,chickpea
51,76,76,6.613072145,19.71098332,85.57925437,chickpea
36,75,80,8.165359297,19.07937684,69.40619137,chickpea
34,69,85,7.64867466,18.54988627,76.32565249,chickpea
36,63,78,6.545888558,18.19903647,80.6405403,chickpea
30,73,85,7.104224797,18.88852533,80.1113384,chickpea
28,74,81,7.358099622,18.49311205,91.94595352,chickpea
35,75,75,6.4740245,19.48974337,87.51312796,chickpea
35,57,85,7.840339389,17.25769499,94.00287214,chickpea
44,64,79,7.064790365,19.62416326,88.4585692,chickpea
36,79,80,7.599033472,20.67526473,84.78344008,chickpea
44,79,79,6.715587232,20.02381489,68.97806542,chickpea
35,67,81,6.81712422,20.1187446,88.68168643,chickpea
51,56,85,7.985417393,20.65691793,65.23811143,chickpea
28,69,83,7.545258424,19.2582557,65.78042032,chickpea
56,55,75,7.728998197,17.927806,74.63872762,chickpea
25,66,84,7.354973451,19.16288268,82.69766829,chickpea
23,65,81,7.313122235,20.26942271,69.64449182,chickpea
30,65,83,7.785039076,17.09104223,87.27444866,chickpea
60,67,81,6.307004923,17.06579293,70.87150577,chickpea
33,76,77,6.403982316,20.62767492,92.06630306,chickpea
22,63,78,7.599279991,20.8248451,79.20509212,chickpea
20,64,84,7.217018459,19.46210401,68.81405149,chickpea
49,74,78,7.561108006,17.18248372,72.85017344,chickpea
55,59,85,7.489545074,17.48911699,79.45758333,chickpea
38,76,78,6.609696734,17.48395377,65.11365631,chickpea
55,69,76,7.476800943,19.48316794,80.4986291,chickpea
22,56,80,7.325451279,19.71359733,73.64476535,chickpea
56,55,77,6.489389282,19.48649305,81.5284269,chickpea
26,57,75,7.786366322,19.95264829,88.6810311,chickpea
51,71,76,6.408437886,19.41789736,68.4951189,chickpea
52,77,85,8.423873703,19.45591848,78.44910564,chickpea
46,55,81,8.719960893,20.19137759,77.33795356,chickpea
47,64,80,7.811997977,18.8392908,94.78189594,chickpea
20,66,76,6.317153205,20.71219282,94.03659867,chickpea
51,60,81,7.114405288,18.99424448,78.69707199,chickpea
40,80,75,8.135900726,19.96837462,69.15759062,chickpea
31,67,81,7.714153038,17.81564548,90.82097601,chickpea
47,74,85,7.103798069,20.71424384,76.77888672,chickpea
40,56,79,8.861479668,17.34150229,67.9545435,chickpea
55,65,81,7.861128148,17.43732714,73.0926704,chickpea
41,59,83,7.4526709,18.89780215,69.09512477,chickpea
59,69,75,7.168096055,18.59190771,89.60982451,chickpea
60,67,83,7.26311855,18.31561493,81.78710463,chickpea
17,79,22,5.68597166,17.13692774,128.256862,kidneybeans
24,80,21,5.759237003,19.63474332,106.3598183,kidneybeans
4,64,16,5.873171894,22.91350245,109.225556,kidneybeans
15,69,24,5.926676985,16.43340342,140.3717815,kidneybeans
6,78,24,5.95561668,22.13974653,76.64128258,kidneybeans
37,72,21,5.949949081,17.84806561,143.0984171,kidneybeans
23,57,24,5.789214289,19.88394011,60.91974792,kidneybeans
1,67,24,5.581021521,19.32509638,104.7783947,kidneybeans
24,65,20,5.689858133,18.4167001,132.9801054,kidneybeans
34,80,22,5.794158504,21.81167649,130.0608093,kidneybeans
4,69,16,5.748190463,19.72702528,143.7630894,kidneybeans
28,63,20,5.566522896,17.15432954,87.99669731,kidneybeans
17,60,17,5.809419584,19.62207826,144.1567454,kidneybeans
25,76,18,5.887263027,21.63149148,134.3649948,kidneybeans
29,79,20,5.99812453,16.06522754,88.06638775,kidneybeans
36,56,23,5.792744849,20.61162204,69.63833855,kidneybeans
36,58,17,5.912289889,21.42451099,116.5206923,kidneybeans
6,79,16,5.788386951,19.07096165,86.21917578,kidneybeans
35,68,20,5.728233081,21.18853178,137.1948633,kidneybeans
29,63,17,5.833940084,23.0429097,108.3684316,kidneybeans
25,59,15,5.967533236,20.65375833,67.71768947,kidneybeans
26,72,15,5.625096446,18.09551014,144.7902323,kidneybeans
40,72,22,5.515615023,18.23775702,69.44951585,kidneybeans
36,77,17,5.954665349,17.48189735,121.9401369,kidneybeans
3,56,21,5.74644777,19.9191786,82.68554379,kidneybeans
37,56,15,5.877347515,20.27514686,139.7521543,kidneybeans
7,71,19,5.979973965,15.77370214,108.3441414,kidneybeans
27,67,25,5.635993966,16.71170642,96.77285817,kidneybeans
28,80,18,5.635231778,17.66148158,100.6711761,kidneybeans
28,63,17,5.679224346,18.50692825,87.0513289,kidneybeans
18,71,18,5.670062975,24.51324787,64.19497947,kidneybeans
2,57,17,5.724242065,18.87614998,105.4120514,kidneybeans
35,63,17,5.811314232,21.59343016,61.13872036,kidneybeans
40,80,16,5.783425416,20.12373284,106.158201,kidneybeans
40,64,22,5.607808432,15.43546065,139.0302034,kidneybeans
25,61,19,5.946999529,22.64236876,122.3886015,kidneybeans
35,60,24,5.852046999,21.98560799,129.5650601,kidneybeans
33,62,17,5.824090984,20.53052663,120.4509288,kidneybeans
9,57,19,5.502999119,15.78601387,95.17028129,kidneybeans
19,74,24,5.821649914,19.6365349,96.65888933,kidneybeans
23,61,17,5.711439256,20.57341244,87.87869161,kidneybeans
8,74,18,5.514927264,20.16080524,138.2362122,kidneybeans
15,56,23,5.99616119,21.53989176,120.6913038,kidneybeans
27,61,24,5.695422863,15.53834801,107.3850593,kidneybeans
12,55,23,5.833010958,19.91853092,108.6434544,kidneybeans
11,70,24,5.568456899,20.76952209,109.0193712,kidneybeans
34,65,15,5.645435626,23.46168338,95.84253438,kidneybeans
21,71,16,5.821194486,24.32116642,60.27552528,kidneybeans
35,62,16,5.659254981,20.12574053,100.0497183,kidneybeans
32,57,24,5.945465949,21.80619564,125.0972687,kidneybeans
36,75,21,5.951177452,19.52226241,113.334026,kidneybeans
31,73,17,5.520880014,17.00067625,103.2926407,kidneybeans
24,72,19,5.578410206,16.78791503,75.45328039,kidneybeans
11,78,22,5.608165195,24.84906168,62.21292186,kidneybeans
19,72,24,5.609435128,16.51783455,98.77794225,kidneybeans
27,56,23,5.509295379,18.15300153,107.6907964,kidneybeans
12,61,24,5.902033406,23.18864385,63.38208822,kidneybeans
18,80,20,5.744117663,23.38002569,87.66898664,kidneybeans
11,62,22,5.717143397,18.358923,138.414764,kidneybeans
14,64,22,5.542690119,19.25975367,94.9533526,kidneybeans
34,75,25,5.858617867,22.95458237,107.7315386,kidneybeans
6,60,25,5.618844277,20.120043,104.6252153,kidneybeans
34,57,16,5.606620346,21.14011423,141.6056722,kidneybeans
27,71,19,5.582178402,24.92360104,62.7089169,kidneybeans
26,56,20,5.56503533,15.33042636,135.3315583,kidneybeans
20,73,22,5.889614577,18.81097271,125.084915,kidneybeans
6,56,16,5.934136378,23.44260668,107.4137246,kidneybeans
14,74,15,5.683548308,22.8352024,63.59276673,kidneybeans
29,68,24,5.70836603,24.9035819,146.4727237,kidneybeans
14,57,24,5.948164454,23.78709569,119.6404412,kidneybeans
20,70,19,5.774755144,22.05592283,126.7265372,kidneybeans
6,78,21,5.97229163,18.87492997,134.1811718,kidneybeans
23,74,15,5.532100554,18.62328774,135.3378033,kidneybeans
11,66,23,5.669560726,23.00884744,100.118612,kidneybeans
21,73,21,5.655726817,19.33162606,68.51253427,kidneybeans
6,69,25,5.591704014,16.24469193,66.97053257,kidneybeans
30,72,19,5.932323085,17.91652287,69.14681022,kidneybeans
8,77,21,5.824208309,15.46789263,88.88796102,kidneybeans
15,78,15,5.86442953,17.06104474,81.83420522,kidneybeans
34,80,23,5.866744372,21.32776028,109.1013261,kidneybeans
15,70,19,5.706198621,23.90910104,81.60211243,kidneybeans
5,66,16,5.940546818,23.89756791,112.6616435,kidneybeans
0,68,20,5.916779289,22.98666928,143.8584938,kidneybeans
33,64,22,5.779090476,21.35135729,146.4548645,kidneybeans
21,57,22,5.82738029,24.1638445,116.7324324,kidneybeans
25,70,21,5.514234138,24.62835037,149.7441028,kidneybeans
9,73,16,5.662699104,21.02213209,124.6118471,kidneybeans
7,58,22,5.86390397,17.30844532,115.199245,kidneybeans
4,66,20,5.624690248,23.82576704,84.64143632,kidneybeans
20,76,16,5.591560999,19.30607278,129.3449326,kidneybeans
31,63,18,5.976312538,16.03768615,130.3900798,kidneybeans
6,73,16,5.669236258,19.18572809,80.15293435,kidneybeans
36,59,21,5.961934481,19.92889503,64.02640797,kidneybeans
24,65,23,5.690065688,19.56376468,139.2921004,kidneybeans
4,77,21,5.698371311,18.31357543,76.14153904,kidneybeans
20,56,17,5.59503163,20.10993761,73.36386477,kidneybeans
5,76,16,5.525904526,23.60506572,100.5978728,kidneybeans
29,57,16,5.819403771,19.73136909,84.06354115,kidneybeans
36,56,17,5.562201934,20.93409877,133.1914419,kidneybeans
36,62,17,5.630664753,18.78226261,104.2570723,kidneybeans
36,68,20,6.03160778,36.51268371,122.6539694,pigeonpeas
16,63,21,5.269084669,36.89163721,163.7266551,pigeonpeas
24,72,18,5.985792703,29.23540524,103.3301803,pigeonpeas
14,74,20,6.09186275,27.33534897,142.3303677,pigeonpeas
2,65,24,5.624731338,21.0643684,184.6226709,pigeonpeas
39,74,17,6.446091759,30.33276599,149.299952,pigeonpeas
40,58,20,5.623490043,31.80130272,147.0361442,pigeonpeas
6,68,17,5.864623352,33.18184225,198.8298806,pigeonpeas
13,66,16,5.761702519,29.38538562,90.05422663,pigeonpeas
34,72,17,4.696518678,30.27374995,127.7767134,pigeonpeas
2,63,22,5.269504214,35.45790488,108.6333046,pigeonpeas
38,68,15,7.445444883,33.80020039,176.6165894,pigeonpeas
12,71,20,5.833031708,28.69180475,96.36222901,pigeonpeas
30,76,23,7.339320929,31.24021696,122.0146733,pigeonpeas
0,67,22,6.347929353,28.98039357,120.7435664,pigeonpeas
18,77,19,4.697750704,27.32198928,96.51524028,pigeonpeas
28,74,20,4.962661422,21.47607807,180.382234,pigeonpeas
15,79,18,4.964887857,18.31910448,107.4721605,pigeonpeas
31,67,25,5.642813116,36.97794384,161.4812963,pigeonpeas
11,59,24,5.6093956,24.80467592,121.5639121,pigeonpeas
19,77,18,4.681576043,19.3479443,194.5921148,pigeonpeas
33,59,25,5.70951224,28.88302142,179.2155874,pigeonpeas
29,60,16,6.413543781,19.54314136,192.4372194,pigeonpeas
10,71,19,6.007508163,24.7741949,114.2821387,pigeonpeas
0,76,21,4.946369874,18.33124824,139.6483317,pigeonpeas
3,56,15,5.517208078,19.14729038,132.7748215,pigeonpeas
19,80,20,5.902103172,28.23416057,186.5008581,pigeonpeas
39,69,25,5.719889876,30.11812084,157.0858232,pigeonpeas
8,59,22,4.548202098,33.4126864,139.6702541,pigeonpeas
37,56,24,6.669529416,24.18553163,177.3377996,pigeonpeas
8,68,17,4.750929218,26.88630675,94.46748008,pigeonpeas
8,80,17,4.946263888,31.33170829,161.7820226,pigeonpeas
2,79,16,5.266227032,33.30711818,108.5090168,pigeonpeas
19,65,18,7.10959773,23.45379018,150.8712202,pigeonpeas
23,63,22,5.617008201,34.53823889,168.5948318,pigeonpeas
34,75,21,5.632353113,19.50112224,197.3752649,pigeonpeas
23,60,17,4.674941549,28.76794904,91.72084869,pigeonpeas
8,55,19,7.161797643,30.97758716,180.716828,pigeonpeas
17,76,16,6.624966131,18.39759147,93.12330644,pigeonpeas
9,64,21,5.004074624,35.09357419,116.9106908,pigeonpeas
22,63,20,6.345806011,34.93174223,159.2649827,pigeonpeas
16,58,22,6.216814453,29.50523036,187.8961851,pigeonpeas
36,77,21,5.921666758,34.51934775,129.0064612,pigeonpeas
22,68,25,6.012719118,28.43430726,147.0414824,pigeonpeas
34,56,19,4.684079249,18.41645629,163.2747473,pigeonpeas
25,68,24,7.077170002,31.07508973,91.31256412,pigeonpeas
38,64,16,6.208843215,20.89342749,195.5697875,pigeonpeas
35,74,19,7.05181629,30.90607799,170.9919828,pigeonpeas
13,72,24,4.722222454,27.9348279,145.3728801,pigeonpeas
7,69,21,6.418062652,35.95176642,136.0456753,pigeonpeas
39,74,23,4.803564468,19.54317155,173.1686574,pigeonpeas
30,68,17,4.608695247,19.63736208,176.4134092,pigeonpeas
10,69,23,5.611510977,31.2192752,129.2028653,pigeonpeas
26,59,23,7.322097972,33.50876355,126.6738117,pigeonpeas
5,60,20,5.023115055,24.80710166,188.4928637,pigeonpeas
11,78,15,5.617122801,36.20970524,191.0658531,pigeonpeas
25,55,18,5.391560418,30.50420876,162.5927723,pigeonpeas
15,72,25,5.906596905,26.01630259,160.3337447,pigeonpeas
23,79,25,6.574209678,31.48469278,100.546816,pigeonpeas
25,75,17,4.807776749,33.15122581,105.0380275,pigeonpeas
5,63,15,4.760038039,23.50222822,192.3023991,pigeonpeas
26,78,24,5.180271502,34.87248659,148.2502786,pigeonpeas
8,75,24,4.895927306,28.09269012,197.1144011,pigeonpeas
28,55,25,6.436160044,24.54757829,118.3606557,pigeonpeas
36,63,20,7.066087261,33.64769646,100.4673278,pigeonpeas
10,59,21,6.655918078,20.5591255,191.0895109,pigeonpeas
23,64,19,5.982854523,19.95991719,195.787103,pigeonpeas
26,71,20,5.457871273,28.87667593,182.2688175,pigeonpeas
16,62,22,4.759490199,36.04353699,159.8938645,pigeonpeas
15,72,16,7.342409555,23.6734328,141.1250722,pigeonpeas
10,77,16,4.820788186,25.74679443,100.7791633,pigeonpeas
32,70,22,6.242052013,31.08564994,175.9303271,pigeonpeas
13,75,15,5.001038726,18.72987676,139.8710041,pigeonpeas
25,55,25,5.560224583,29.50304807,189.5208915,pigeonpeas
23,74,24,4.747352458,20.43517772,137.2279662,pigeonpeas
3,72,19,7.313517308,36.00415838,134.8596466,pigeonpeas
1,71,23,5.661826398,31.46846241,174.5723999,pigeonpeas
26,72,25,4.672437054,36.30049702,101.6073988,pigeonpeas
30,62,21,6.471862118,29.49096726,153.2504506,pigeonpeas
36,77,22,5.384762927,30.5753044,177.5764304,pigeonpeas
